Archetype,Num,Win,Loss,Win %
Midrange,78,259,281,0.47962962962962963
Mill,4,13,13,0.5
Ramp,12,42,44,0.4883720930232558
Pure Midrange,29,102,104,0.49514563106796117
Control,28,103,88,0.5392670157068062
Spellslinger,11,37,40,0.4805194805194805
Aggro,55,204,197,0.5087281795511222
Pure Aggro,23,92,74,0.5542168674698795
Blink,9,42,21,0.6666666666666666
Pure Control,19,70,61,0.5343511450381679
Counters,5,19,19,0.5
Reanimator,16,47,67,0.41228070175438597
Stompy,5,9,27,0.25
Graveyard,6,14,22,0.3888888888888889
Tokens,9,34,28,0.5483870967741935
Discard,2,9,6,0.6
Lifegain,1,3,5,0.375
Sacrifice,2,6,6,0.5
Lands,3,10,12,0.45454545454545453
Sneak,4,16,13,0.5517241379310345
Wheels,1,1,4,0.2
