Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Incubation Druid,22,29,7,G,2.0,Creature,1.0,0.43137254901960786,0.9488396594788626
Dauthi Voidwalker,58,58,16,B,2.0,Creature,1.0,0.5,1.0096689870383242
"Ragavan, Nimble Pilferer",37,36,10,R,1.0,Creature,1.0,0.5068493150684932,1.0366758307418207
Prismatic Vista,45,56,15,,0.0,Land,1.0,0.44554455445544555,0.9273350237484451
Slickshot Show-Off,17,24,6,R,2.0,Creature,1.0,0.4146341463414634,0.7828439672875311
Polluted Delta,45,50,14,,0.0,Land,1.0,0.47368421052631576,0.9562256492558662
Horizon of Progress,19,25,7,,0.0,Land,1.0,0.4318181818181818,0.8629981926928835
Dismember,50,45,14,B,3.0,Instant,1.0,0.5263157894736842,1.118061199301002
Necromancy,33,25,8,B,3.0,Enchantment,1.0,0.5689655172413793,1.269287746063414
"Phelia, Exuberant Shepherd",30,13,6,W,2.0,Creature,1.0,0.6976744186046512,1.319752284835709
Bitter Triumph,38,47,12,B,2.0,Instant,1.0,0.4470588235294118,0.956986226526566
Misty Rainforest,58,43,14,,0.0,Land,1.0,0.5742574257425742,1.1413286513959737
Bitterblossom,46,57,15,B,2.0,Enchantment,1.0,0.44660194174757284,0.9110198006265018
Lightning Bolt,31,26,8,R,1.0,Instant,1.0,0.543859649122807,1.093213441257612
Fear of Missing Out,25,23,7,R,2.0,Creature,1.0,0.5208333333333334,0.9487411495038675
Smuggler's Copter,43,50,13,,2.0,Artifact,1.0,0.46236559139784944,0.9407800087689949
Ertai Resurrected,45,24,9,BU,4.0,Creature,1.0,0.6521739130434783,1.2086518089523521
Tireless Tracker,39,48,12,G,3.0,Creature,1.0,0.4482758620689655,1.0302118545049639
Accursed Marauder,32,28,8,B,2.0,Creature,1.0,0.5333333333333333,1.0932983499938922
Trumpeting Carnosaur,46,51,14,R,6.0,Creature,1.0,0.4742268041237113,0.92445533241711
Troll of Khazad-dûm,31,47,12,B,6.0,Creature,1.0,0.3974358974358974,0.8709677350460623
Llanowar Elves,51,53,15,G,1.0,Creature,1.0,0.49038461538461536,1.0211280467867079
Phantasmal Image,51,28,12,U,2.0,Creature,1.0,0.6455696202531646,1.1885902729006044
Mana Leak,49,60,16,U,2.0,Instant,1.0,0.44954128440366975,0.8715910443516915
Bonecrusher Giant // Stomp,53,44,14,R,3.0,Creature,1.0,0.5463917525773195,1.0829863579436254
Fabled Passage,35,50,12,,0.0,Land,1.0,0.4117647058823529,0.8557162814366122
Shelldock Isle,54,56,16,U,0.0,Land,0.9411764705882353,0.4909090909090909,0.9404390210920469
Fatal Push,48,48,14,B,1.0,Instant,0.9333333333333333,0.5,1.1068113927861178
Zagoth Triome,51,47,14,BGU,0.0,Land,0.9333333333333333,0.5204081632653061,1.0419402994702025
Abrade,48,51,14,R,2.0,Instant,0.9333333333333333,0.48484848484848486,0.938667003334254
Selfless Spirit,48,44,13,W,2.0,Creature,0.9285714285714286,0.5217391304347826,0.9565495028615415
Flooded Strand,50,43,13,,0.0,Land,0.9285714285714286,0.5376344086021505,0.989331110437863
"Inti, Seneschal of the Sun",55,38,13,R,2.0,Creature,0.9285714285714286,0.5913978494623656,1.179312904676148
Deep-Cavern Bat,47,37,13,B,2.0,Creature,0.9285714285714286,0.5595238095238095,1.12888636190014
Ravenous Chupacabra,39,40,12,B,4.0,Creature,0.9230769230769231,0.4936708860759494,1.0265019389248597
Gix's Command,54,33,12,B,5.0,Sorcery,0.9230769230769231,0.6206896551724138,1.270989137761302
Noble Hierarch,35,47,12,GUW,1.0,Creature,0.9230769230769231,0.4268292682926829,0.9616124354376385
Go for the Throat,45,40,12,B,2.0,Instant,0.9230769230769231,0.5294117647058824,1.0877683588632625
The One Ring,37,44,12,,4.0,Artifact,0.9230769230769231,0.4567901234567901,0.9299317958117511
Mystic Confluence,40,41,12,U,5.0,Instant,0.9230769230769231,0.49382716049382713,0.9828825160510752
Kitesail Larcenist,47,35,11,U,3.0,Creature,0.9166666666666666,0.573170731707317,1.1182479022728387
Blood Crypt,42,34,11,BR,0.0,Land,0.9166666666666666,0.5526315789473685,1.0929496376337098
Luminarch Aspirant,53,27,11,W,2.0,Creature,0.9166666666666666,0.6625,1.2085791271914443
Exsanguinator Cavalry,28,38,11,B,3.0,Creature,0.9166666666666666,0.42424242424242425,0.8443987219695149
Reanimate,42,36,11,B,1.0,Sorcery,0.9166666666666666,0.5384615384615384,1.132598013188093
Swords to Plowshares,45,32,11,W,1.0,Instant,0.9166666666666666,0.5844155844155844,1.035059526498193
Preacher of the Schism,51,28,11,B,3.0,Creature,0.9166666666666666,0.6455696202531646,1.3471060014257916
Birds of Paradise,33,42,11,G,1.0,Creature,0.9166666666666666,0.44,0.9132693297242815
Wooded Foothills,41,44,11,,0.0,Land,0.9166666666666666,0.4823529411764706,1.0379773733564344
Bloodstained Mire,32,34,10,,0.0,Land,0.9090909090909091,0.48484848484848486,1.019089870754001
Faerie Mastermind,35,33,10,U,2.0,Creature,0.9090909090909091,0.5147058823529411,1.0788093175850715
Flametongue Kavu,41,34,10,R,4.0,Creature,0.9090909090909091,0.5466666666666666,1.0812765293451745
Dragon's Rage Channeler,30,37,10,R,1.0,Creature,0.9090909090909091,0.44776119402985076,0.9734261651038103
Werefox Bodyguard,40,29,10,W,3.0,Creature,0.9090909090909091,0.5797101449275363,1.0704838569441075
Ketria Triome,37,32,10,GRU,0.0,Land,0.9090909090909091,0.5362318840579711,1.0674182172627853
Spara's Headquarters,30,36,10,GUW,0.0,Land,0.9090909090909091,0.45454545454545453,0.8786148975202432
Malevolent Rumble,31,31,9,G,2.0,Sorcery,0.9,0.5,1.0592135909037077
Verdant Catacombs,23,34,9,,0.0,Land,0.9,0.40350877192982454,0.8820350458051942
Archon of Cruelty,28,34,9,B,8.0,Creature,0.9,0.45161290322580644,0.9992309205205435
Ash Barrens,36,27,9,,0.0,Land,0.9,0.5714285714285714,1.1144264980634495
Seething Landscape,29,27,8,BRU,0.0,Land,0.8888888888888888,0.5178571428571429,1.0493184484669746
Carnage Interpreter,23,26,8,BR,3.0,Creature,0.8888888888888888,0.46938775510204084,0.8974938878371235
Arid Mesa,65,50,15,,0.0,Land,0.8823529411764706,0.5652173913043478,1.109687991368666
Preordain,55,49,15,U,1.0,Sorcery,0.8823529411764706,0.5288461538461539,1.009832955590265
"Takenuma, Abandoned Mire",28,24,7,B,0.0,Land,0.875,0.5384615384615384,1.0792063325525934
Thragtusk,50,52,14,G,5.0,Creature,0.875,0.49019607843137253,0.9913997576648582
Ocelot Pride,29,17,7,W,1.0,Creature,0.875,0.6304347826086957,1.1589447174856053
"Tinybones, the Pickpocket",31,25,7,B,1.0,Creature,0.875,0.5535714285714286,1.0766736749243682
Harvester of Misery,20,30,7,B,5.0,Creature,0.875,0.4,0.8822328720094585
Giver of Runes,34,18,7,W,1.0,Creature,0.875,0.6538461538461539,1.1717249868844448
Mizzium Mortars,17,29,7,R,2.0,Sorcery,0.875,0.3695652173913043,0.7222373783506371
Get Lost,48,52,14,W,2.0,Instant,0.875,0.48,0.9379735074874359
Murktide Regent,24,24,7,U,7.0,Creature,0.875,0.5,0.9936008039038237
Embercleave,25,30,7,R,6.0,Artifact,0.875,0.45454545454545453,0.8814712290534656
Bonehoard Dracosaur,28,51,13,R,5.0,Creature,0.8666666666666667,0.35443037974683544,0.752249320162314
Urborg Scavengers,48,44,13,B,3.0,Creature,0.8666666666666667,0.5217391304347826,1.011630595033926
Toxic Deluge,49,40,13,B,3.0,Sorcery,0.8666666666666667,0.550561797752809,1.1277583448005688
Cemetery Gatekeeper,49,42,13,R,2.0,Creature,0.8666666666666667,0.5384615384615384,1.0230063568374077
