Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Preacher of the Schism,51,28,11,B,3.0,Creature,0.9166666666666666,0.6455696202531646,1.3471060014257916
"Phelia, Exuberant Shepherd",30,13,6,W,2.0,Creature,1.0,0.6976744186046512,1.319752284835709
Gix's Command,54,33,12,B,5.0,Sorcery,0.9230769230769231,0.6206896551724138,1.270989137761302
Necromancy,33,25,8,B,3.0,Enchantment,1.0,0.5689655172413793,1.269287746063414
"Malcolm, Alluring Scoundrel",55,33,12,U,2.0,Creature,0.75,0.625,1.230010492826946
Deathrite Shaman,29,20,7,BG,1.0,Creature,0.6363636363636364,0.5918367346938775,1.2250245478511446
Collector's Cage,35,20,7,W,2.0,Artifact,0.7,0.6363636363636364,1.224978333304641
Aether Channeler,35,20,8,U,3.0,Creature,0.5714285714285714,0.6363636363636364,1.222290959175032
Shark Typhoon,41,26,10,U,6.0,Enchantment,0.625,0.6119402985074627,1.221767164312161
Flame Slash,24,15,6,R,1.0,Sorcery,0.75,0.6153846153846154,1.2165529116173674
Ephemerate,56,23,11,W,1.0,Instant,0.7333333333333333,0.7088607594936709,1.2163515966522653
Ertai Resurrected,45,24,9,BU,4.0,Creature,1.0,0.6521739130434783,1.2086518089523521
Luminarch Aspirant,53,27,11,W,2.0,Creature,0.9166666666666666,0.6625,1.2085791271914443
Walking Ballista,49,31,11,,0.0,Creature,0.8461538461538461,0.6125,1.203101026000009
Deceptive Landscape,26,17,6,BGW,0.0,Land,0.6666666666666666,0.6046511627906976,1.2009749969612067
Raffine's Tower,52,29,12,BUW,0.0,Land,0.8571428571428571,0.6419753086419753,1.1980528622733473
Isolated Chapel,42,26,9,BW,0.0,Land,0.6428571428571429,0.6176470588235294,1.1970487593422858
Cryptic Coat,43,24,10,U,3.0,Artifact,0.625,0.6417910447761194,1.1966870974447426
Palace Jailer,54,27,12,W,4.0,Creature,0.8,0.6666666666666666,1.1895917915159326
Phantasmal Image,51,28,12,U,2.0,Creature,1.0,0.6455696202531646,1.1885902729006044
Lose Focus,43,29,10,U,2.0,Instant,0.7142857142857143,0.5972222222222222,1.1883612544360158
Elegant Parlor,36,29,9,RW,0.0,Land,0.8181818181818182,0.5538461538461539,1.1873759219896123
Fateful Absence,50,27,11,W,2.0,Instant,0.7333333333333333,0.6493506493506493,1.1808018559072202
Hazoret the Fervent,33,24,8,R,4.0,Creature,0.7272727272727273,0.5789473684210527,1.1807177453529416
"Inti, Seneschal of the Sun",55,38,13,R,2.0,Creature,0.9285714285714286,0.5913978494623656,1.179312904676148
Woodland Cemetery,28,24,8,BG,0.0,Land,0.5333333333333333,0.5384615384615384,1.1785635426429708
Remand,61,38,13,U,2.0,Instant,0.7222222222222222,0.6161616161616161,1.1726173889929798
Giver of Runes,34,18,7,W,1.0,Creature,0.875,0.6538461538461539,1.1717249868844448
Chain Lightning,47,34,12,R,1.0,Sorcery,0.8571428571428571,0.5802469135802469,1.1708313863621231
Talon Gates of Madara,30,17,6,,0.0,Land,0.75,0.6382978723404256,1.1675575303746302
Jacked Rabbit,27,16,6,W,2.0,Creature,0.8571428571428571,0.627906976744186,1.1641786042458588
"Massacre Girl, Known Killer",32,22,8,B,4.0,Creature,0.5714285714285714,0.5925925925925926,1.1615387994244963
